2020/01/01, -2.6579377590938407
2020/01/02, -2.5051425773969385
2020/01/03, -2.32688153208386
2020/01/04, -2.1613534185788694
2020/01/05, -1.995825305073879
2020/01/05, -1.8345415021715752
2020/01/06, -1.6647690780638982
2020/01/07, -1.4907523433535061
2020/01/08, -1.3252242298485157
2020/01/08, -1.1596961163435253
2020/01/09, -0.9941680028385349
2020/01/10, -0.8243955787308579
2020/01/11, -0.6546231546231809
2020/01/11, -0.48909504111817625
2020/01/12, -0.32356692761318584
2020/01/13, -0.15379450350550883
2020/01/14, 0.011733609999481587
2020/01/15, 0.1815060341071586
2020/01/15, 0.3215682839959868
2020/01/16, 0.279125177969064
2020/01/17, 0.1730174129017712
2020/01/18, 0.049932405423703585
2020/01/18, -0.060419670246290025
2020/01/19, -0.16652743531359704
2020/01/20, -0.27687951098357644
2020/01/21, -0.38723158665358426
2020/01/22, -0.5103165941316519
2020/01/22, -0.6206686698016455
2020/01/23, -0.7267764348689667
2020/01/24, -0.8371285105389461
2020/01/25, -0.9474805862089397
2020/01/25, -1.0705655936870073
2020/01/26, -1.1766733587543143
2020/01/27, -1.2870254344243222
2020/01/28, -1.3973775100943016
2020/01/29, -1.5077295857642952
2020/01/29, -1.618081661434303
2020/01/30, -1.736922358309684
2020/01/31, -1.8472744339796776
2020/02/01, -1.957626509649657
2020/02/01, -2.067978585319665
2020/02/02, -2.182574971592345
2020/02/03, -2.2971713578650395
2020/02/04, -2.407523433535033
2020/02/05, -2.5178755092050267
2020/02/05, -2.6282275848750345
2020/02/06, -2.7343353499423415
2020/02/07, -2.857420357420409
2020/02/08, -2.9677724330904027
2020/02/08, -3.078124508760382
2020/02/09, -3.1842322738277034
2020/02/10, -3.294584349497697
2020/02/11, -3.4176693569757646
2020/02/11, -3.5280214326457724
2020/02/12, -3.638373508315752
2020/02/13, -3.740236962780372
2020/02/14, -3.8548333490530524
2020/02/15, -3.97791835653112
2020/02/15, -4.088270432201128
2020/02/16, -4.198622507871107
2020/02/17, -4.300485962335728
2020/02/18, -4.415082348608422
2020/02/18, -4.53816735608649
2020/02/19, -4.648519431756483
2020/02/20, -4.7503828862210895
2020/02/21, -4.860734961891083
2020/02/22, -4.9753313481637775
2020/02/22, -5.098416355641845
2020/02/23, -5.204524120709138
2020/02/24, -5.310631885776445
2020/02/25, -5.420983961446439
2020/02/25, -5.535580347719147
2020/02/26, -5.658665355197215
2020/02/27, -5.760528809661821
2020/02/28, -5.870880885331815
2020/02/29, -5.9812329610018224
2020/02/29, -6.095829347274503
2020/03/01, -6.223158665355257
2020/03/02, -6.341999362230638
2020/03/03, -6.477817301516794
2020/03/03, -6.609390930200249
2020/03/04, -6.72823162707563
2020/03/05, -6.881026808772532
2020/03/06, -6.999867505647913
2020/03/06, -7.131441134331368
2020/03/07, -7.263014763014837
2020/03/08, -7.390344081095591
2020/03/09, -7.53465064158712
2020/03/10, -7.653491338462501
2020/03/10, -7.785064967145956
2020/03/11, -7.920882906432112
2020/03/12, -8.048212224512866
2020/03/13, -8.188274474401709
2020/03/13, -8.307115171277076
2020/03/14, -8.442933110563231
2020/03/15, -8.578751049849387
2020/03/16, -8.331307741712422
2020/03/16, -7.211476705696427
2020/03/17, -6.197692801739123
2020/03/17, -5.183908897781805
2020/03/18, -4.176794624771588
2020/03/18, -3.1696803517613574
2020/03/19, -2.1558964478040394
2020/03/19, -1.1421125438467215
2020/03/20, -0.12832863988940346
2020/03/20, 0.8787856331208133
2020/03/21, 1.8925695370781312
2020/03/21, 2.899683810088348
2020/03/22, 3.913467714045666
2020/03/22, 4.920581987055911
2020/03/23, 6.024035373746287
2020/03/24, 6.747454536471821
2020/03/24, 7.311947846629863
2020/03/25, 7.880685467390592
2020/03/26, 8.445178777548648
2020/03/27, 9.009672087706704
2020/03/27, 9.578409708467447
2020/03/28, 10.147147329228176
2020/03/29, 10.711640639386232
2020/03/30, 11.280378260146975
2020/03/30, 11.369508782803507
2020/03/31, 10.737106503002394
2020/04/01, 10.087726980790492
2020/04/02, 9.442591769181291
2020/04/03, 8.797456557572104
2020/04/03, 8.15656565656559
2020/04/04, 7.511430444956375
2020/04/05, 6.862050922744487
2020/04/06, 6.221160021737987
2020/04/06, 5.580269120731472
2020/04/07, 4.93088959851957
2020/04/08, 4.281510076307683
2020/04/09, 3.644863485903869
2020/04/10, 2.999728274294654
2020/04/10, 2.350348752082766
2020/04/11, 1.7009692298708643
2020/04/12, 1.0643226394670506
2020/04/13, 0.414943117255163
2020/04/13, -0.23019209435402388
2020/04/14, -0.8753273059632392
2020/04/15, -1.1299859421247618
2020/04/16, -1.0323667982628422
2020/04/17, -0.9305033437982217
2020/04/17, -0.837128510539003
2020/04/18, -0.7352650560743967
2020/04/19, -0.6376459122124771
2020/04/20, -0.5400267683505717
2020/04/20, -0.4381633138859371
2020/04/21, -0.3447884806267183
2020/04/22, -0.03495380663019887
2020/04/22, 1.1244503730052031
2020/04/23, 2.1515735388566952
2020/04/23, 3.18647794081312
2020/04/24, 4.213601106664598
2020/04/24, 5.248505508621022
2020/04/25, 6.2756286744725145
2020/04/25, 7.302751840324007
2020/04/25, 8.329875006175499
2020/04/26, 9.364779408131923
2020/04/26, 10.391902573983415
2020/04/27, 11.42680697593984
2020/04/27, 12.453930141791332
2020/04/28, 13.48105330764281
2020/04/28, 14.515957709599235
2020/04/28, 15.543080875450727
2020/04/29, 16.599105775406258
2020/04/29, 17.62067091546851
2020/04/29, 18.686700261844678
2020/04/30, 19.744948372115914
2020/04/30, 20.818758954597016
